0.42334, 0.04757, 0.02033, 0.00364, 0.00199, 0.00174, 0.00021, 0.00000, 0.50117
0.42516, 0.04687, 0.02094, 0.00373, 0.00211, 0.00104, 0.00024, 0.00001, 0.49989
0.42139, 0.04923, 0.01999, 0.00396, 0.00216, 0.00164, 0.00029, 0.00000, 0.50136
0.42431, 0.04790, 0.02047, 0.00389, 0.00194, 0.00161, 0.00017, 0.00001, 0.49969
0.42293, 0.04884, 0.02166, 0.00327, 0.00191, 0.00139, 0.00021, 0.00001, 0.49977
0.42540, 0.04800, 0.02114, 0.00349, 0.00210, 0.00171, 0.00014, 0.00001, 0.49800
0.42013, 0.04799, 0.02043, 0.00369, 0.00197, 0.00124, 0.00031, 0.00003, 0.50421
0.42417, 0.04640, 0.02151, 0.00359, 0.00191, 0.00127, 0.00026, 0.00004, 0.50084
0.42129, 0.04684, 0.02111, 0.00391, 0.00176, 0.00130, 0.00023, 0.00001, 0.50354
0.42120, 0.04791, 0.02049, 0.00393, 0.00183, 0.00154, 0.00023, 0.00001, 0.50286
